hold_type,hold_value,threshold,stop_loss,profit_target,n,avg_stock_ret,med_stock_ret,win_rate,avg_excess_ret,med_excess_ret,excess_win_rate,std_stock_ret,std_excess_ret,stock_sharpe_like,excess_sharpe_like,max_dd_stock,max_dd_excess,ticker
multiday,5,1.5,0.03,0.2,4,0.046431794885121,0.05300814972110757,0.75,0.03719267981359162,0.04010460156882345,0.75,0.05960480912871079,0.05196752984297026,0.7789941040639197,0.7156907385434009,0.0,0.0,FDX
multiday,5,1.5,0.05,0.2,4,0.041431794885121,0.05300814972110757,0.75,0.034198824347707546,0.04010460156882345,0.75,0.06835074154490445,0.05701391076840923,0.6061645265092188,0.5998329861395287,0.0,0.0,FDX
multiday,5,1.0,0.03,0.2,6,0.039865566170216714,0.03717479802105028,0.8333333333333334,0.03342089983691402,0.03234588177768288,0.8333333333333334,0.048059477612638436,0.04171617296891215,0.8295047751358219,0.8011497090545685,-0.030000000000000027,-0.02720286133528982,FDX
multiday,5,1.5,0.03,0.1,4,0.0440040748605538,0.05300814972110757,0.75,0.03163593675941487,0.04010460156882345,0.75,0.0562729493615903,0.04422916911644307,0.7819756270068412,0.715273141942284,0.0,0.0,FDX
multiday,5,1.0,0.05,0.2,6,0.03653223283688337,0.03717479802105028,0.8333333333333334,0.03142499619299131,0.03234588177768288,0.8333333333333334,0.054178451292262834,0.04532702197700292,0.6742945205246297,0.6932949667184195,-0.050000000000000044,-0.0391782831988261,FDX
