hold_type,hold_value,threshold,stop_loss,profit_target,n,avg_stock_ret,med_stock_ret,win_rate,avg_excess_ret,med_excess_ret,excess_win_rate,std_stock_ret,std_excess_ret,stock_sharpe_like,excess_sharpe_like,max_dd_stock,max_dd_excess,ticker
multiday,5,1.5,0.03,0.2,4,0.046431794885121,0.05300814972110757,0.75,0.03719267981359162,0.04010460156882345,0.75,0.05960480912871079,0.05196752984297026,0.7789941040639197,0.7156907385434009,0.0,0.0,FDX
multiday,5,1.5,0.05,0.2,4,0.041431794885121,0.05300814972110757,0.75,0.034198824347707546,0.04010460156882345,0.75,0.06835074154490445,0.05701391076840923,0.6061645265092188,0.5998329861395287,0.0,0.0,FDX
multiday,5,1.0,0.03,0.2,6,0.039865566170216714,0.03717479802105028,0.8333333333333334,0.03342089983691402,0.03234588177768288,0.8333333333333334,0.048059477612638436,0.04171617296891215,0.8295047751358219,0.8011497090545685,-0.030000000000000027,-0.02720286133528982,FDX
multiday,5,1.5,0.03,0.1,4,0.0440040748605538,0.05300814972110757,0.75,0.03163593675941487,0.04010460156882345,0.75,0.0562729493615903,0.04422916911644307,0.7819756270068412,0.715273141942284,0.0,0.0,FDX
multiday,5,1.0,0.05,0.2,6,0.03653223283688337,0.03717479802105028,0.8333333333333334,0.03142499619299131,0.03234588177768288,0.8333333333333334,0.054178451292262834,0.04532702197700292,0.6742945205246297,0.6932949667184195,-0.050000000000000044,-0.0391782831988261,FDX
multiday,3,1.5,0.03,0.1,4,0.039213152530933715,0.0434263050618674,0.75,0.030174367854076706,0.037181463758147126,0.75,0.053387379015365395,0.04193143279552913,0.7345022972498387,0.719612134439012,0.0,0.0,FDX
multiday,5,1.0,0.03,0.1,6,0.03824708615383857,0.03717479802105028,0.8333333333333334,0.02971640446746286,0.03234588177768288,0.8333333333333334,0.04532247197790169,0.03561314511368604,0.843887910008242,0.8344223564810321,-0.030000000000000027,-0.02720286133528982,FDX
multiday,3,1.5,0.2,0.1,4,0.037173384881246496,0.0434263050618674,0.75,0.02912620878839539,0.037181463758147126,0.75,0.05695025471084709,0.04385218550802092,0.6527343041745207,0.6641905859644777,0.0,0.0,FDX
multiday,3,1.5,0.05,0.1,4,0.037173384881246496,0.0434263050618674,0.75,0.02912620878839539,0.037181463758147126,0.75,0.05695025471084709,0.04385218550802092,0.6527343041745207,0.6641905859644777,0.0,0.0,FDX
multiday,3,1.5,0.1,0.1,4,0.037173384881246496,0.0434263050618674,0.75,0.02912620878839539,0.037181463758147126,0.75,0.05695025471084709,0.04385218550802092,0.6527343041745207,0.6641905859644777,0.0,0.0,FDX
multiday,3,1.5,0.03,0.2,4,0.03839936303569924,0.0434263050618674,0.75,0.028743713818719235,0.037181463758147126,0.75,0.052162701141561255,0.04001248299037891,0.736145985452124,0.7183686607409673,0.0,0.0,FDX
multiday,5,1.5,0.05,0.1,4,0.039004074860553795,0.05300814972110757,0.75,0.028642081293530797,0.04010460156882345,0.75,0.06521783366528533,0.04961671461330701,0.598058424643982,0.5772667843237066,0.0,0.0,FDX
multiday,5,1.0,0.05,0.1,6,0.03491375282050524,0.03717479802105028,0.8333333333333334,0.027720500823540144,0.03234588177768288,0.8333333333333334,0.05164077673781699,0.039558194866344584,0.6760888395959699,0.7007524210141414,-0.050000000000000044,-0.0391782831988261,FDX
multiday,3,1.5,0.05,0.2,4,0.03635959538601202,0.0434263050618674,0.75,0.02769555475303792,0.037181463758147126,0.75,0.05576414756144395,0.04197343331927029,0.6520245888444552,0.6598353425694796,0.0,0.0,FDX
multiday,3,1.5,0.2,0.2,4,0.03635959538601202,0.0434263050618674,0.75,0.02769555475303792,0.037181463758147126,0.75,0.05576414756144395,0.04197343331927029,0.6520245888444552,0.6598353425694796,0.0,0.0,FDX
multiday,3,1.5,0.1,0.2,4,0.03635959538601202,0.0434263050618674,0.75,0.02769555475303792,0.037181463758147126,0.75,0.05576414756144395,0.04197343331927029,0.6520245888444552,0.6598353425694796,0.0,0.0,FDX
multiday,5,0.5,0.05,0.2,7,0.034638017756289656,0.03396030163820751,0.8571428571428571,0.026186674670787898,0.024175313869442272,0.7142857142857143,0.049711201042530864,0.043637092643105176,0.6967849705875099,0.6001012690043522,-0.050000000000000044,-0.0391782831988261,FDX
multiday,10,1.5,0.03,0.1,4,0.046699531940712524,0.05839906388142502,0.75,0.02550852442092541,0.027849776891844535,0.5,0.06444323590677961,0.05439649803225501,0.7246614991256142,0.46893688644809167,0.0,-0.015628438846798876,FDX
multiday,3,1.0,0.03,0.1,6,0.032470531975573445,0.03354652468174235,0.8333333333333334,0.025086381537294904,0.026267893632689776,0.8333333333333334,0.04299241591803046,0.03344350525410635,0.7552618591493419,0.7501122070395022,-0.030000000000000027,-0.02720286133528982,FDX
multiday,3,1.0,0.05,0.1,6,0.031110686875781963,0.03354652468174235,0.8333333333333334,0.024387608826840695,0.026267893632689776,0.8333333333333334,0.04542382074345488,0.0347719664933393,0.6848980637601848,0.7013583436965589,-0.0381590705987489,-0.031395497598015076,FDX
multiday,3,1.0,0.1,0.1,6,0.031110686875781963,0.03354652468174235,0.8333333333333334,0.024387608826840695,0.026267893632689776,0.8333333333333334,0.04542382074345488,0.0347719664933393,0.6848980637601848,0.7013583436965589,-0.0381590705987489,-0.031395497598015076,FDX
multiday,3,1.0,0.2,0.1,6,0.031110686875781963,0.03354652468174235,0.8333333333333334,0.024387608826840695,0.026267893632689776,0.8333333333333334,0.04542382074345488,0.0347719664933393,0.6848980637601848,0.7013583436965589,-0.0381590705987489,-0.031395497598015076,FDX
multiday,5,0.5,0.03,0.2,7,0.029884771003042893,0.03396030163820751,0.7142857142857143,0.024305324452514685,0.024175313869442272,0.7142857142857143,0.051206201403573265,0.045076104994008014,0.5836162453744808,0.5392064033870185,-0.030000000000000027,-0.02720286133528982,FDX
multiday,3,1.0,0.03,0.2,6,0.031928005645417125,0.03354652468174235,0.8333333333333334,0.024132612180389923,0.026267893632689776,0.8333333333333334,0.041978401597334736,0.03182796656221156,0.7605817380012934,0.7582203573457905,-0.030000000000000027,-0.02720286133528982,FDX
