hold_type,hold_value,threshold,stop_loss,profit_target,n,avg_stock_ret,med_stock_ret,win_rate,avg_excess_ret,med_excess_ret,excess_win_rate,std_stock_ret,std_excess_ret,stock_sharpe_like,excess_sharpe_like,max_dd_stock,max_dd_excess,ticker
multiday,10,1.5,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.23000734753857444,0.23000734753857444,1.0,,,,,0.0,0.0,FLY
multiday,5,1.5,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.23000734753857444,0.23000734753857444,1.0,,,,,0.0,0.0,FLY
multiday,10,1.0,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.23000734753857444,0.23000734753857444,1.0,,,,,0.0,0.0,FLY
multiday,5,1.0,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.23000734753857444,0.23000734753857444,1.0,,,,,0.0,0.0,FLY
multiday,5,1.5,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.23000734753857444,0.23000734753857444,1.0,,,,,0.0,0.0,FLY
