hold_type,hold_value,side_label,threshold,stop_loss,profit_target,n,avg_stock_ret,med_stock_ret,win_rate,avg_excess_ret,med_excess_ret,excess_win_rate,std_stock_ret,std_excess_ret,stock_sharpe_like,excess_sharpe_like,max_dd_stock,max_dd_excess,ticker
multiday,10,short,0.5,0.2,0.2,3,0.16239495798319326,0.19999999999999996,1.0,0.15697783258907946,0.18320774025490727,1.0,0.06513384339387161,0.06845387650320282,2.49325004515967,2.293191278681417,0.0,0.0,PL
multiday,3,long,1.0,0.2,0.2,3,0.1394299926060362,0.11302681992337171,1.0,0.1302139636689189,0.11805649056818435,1.0,0.05259860225141286,0.06087697575158303,2.650830756672644,2.1389689954421374,0.0,0.0,PL
multiday,10,short,0.5,0.03,0.2,3,0.1233333333333333,0.19999999999999996,0.6666666666666666,0.1189232039112356,0.18320774025490727,0.6666666666666666,0.1327905619136139,0.13379006494361478,0.9287808678267891,0.8888791851723463,0.0,0.0,PL
multiday,10,short,0.5,0.05,0.2,3,0.11666666666666663,0.19999999999999996,0.6666666666666666,0.11225653724456892,0.18320774025490727,0.6666666666666666,0.14433756729740646,0.14528970541334393,0.8082903768654757,0.7726393065854401,0.0,0.0,PL
multiday,10,long,0.5,0.2,0.2,4,0.09930125359138775,0.13461358751518548,0.75,0.11121376316356985,0.14012579035115647,0.75,0.12247601348655032,0.09919212730480945,0.8107812359706866,1.1211954636462114,-0.07202216066481992,-0.031648823517058555,PL
multiday,1,short,0.5,0.1,0.2,3,0.10098866550839743,0.11960784313725481,1.0,0.10043436003704183,0.12268135935434821,1.0,0.050220463166124635,0.05364812115364896,2.0109066930413664,1.8720946396127542,0.0,0.0,PL
multiday,1,short,0.5,0.2,0.2,3,0.10098866550839743,0.11960784313725481,1.0,0.10043436003704183,0.12268135935434821,1.0,0.050220463166124635,0.05364812115364896,2.0109066930413664,1.8720946396127542,0.0,0.0,PL
multiday,3,short,0.5,0.2,0.1,3,0.09999999999999998,0.09999999999999998,1.0,0.0993184267763838,0.10013954786491763,1.0,0.0,0.0038500877839338205,,25.796405783482,0.0,0.0,PL
multiday,5,short,0.5,0.1,0.1,3,0.09999999999999998,0.09999999999999998,1.0,0.0993184267763838,0.10013954786491763,1.0,0.0,0.0038500877839338205,,25.796405783482,0.0,0.0,PL
multiday,5,short,0.5,0.2,0.1,3,0.09999999999999998,0.09999999999999998,1.0,0.0993184267763838,0.10013954786491763,1.0,0.0,0.0038500877839338205,,25.796405783482,0.0,0.0,PL
multiday,10,short,0.5,0.1,0.1,3,0.09999999999999998,0.09999999999999998,1.0,0.0993184267763838,0.10013954786491763,1.0,0.0,0.0038500877839338205,,25.796405783482,0.0,0.0,PL
multiday,3,short,0.5,0.1,0.1,3,0.09999999999999998,0.09999999999999998,1.0,0.0993184267763838,0.10013954786491763,1.0,0.0,0.0038500877839338205,,25.796405783482,0.0,0.0,PL
multiday,1,short,0.5,0.2,0.1,3,0.09999999999999998,0.09999999999999998,1.0,0.0993184267763838,0.10013954786491763,1.0,0.0,0.0038500877839338205,,25.796405783482,0.0,0.0,PL
multiday,10,short,0.5,0.2,0.1,3,0.09999999999999998,0.09999999999999998,1.0,0.0993184267763838,0.10013954786491763,1.0,0.0,0.0038500877839338205,,25.796405783482,0.0,0.0,PL
multiday,1,short,0.5,0.1,0.1,3,0.09999999999999998,0.09999999999999998,1.0,0.0993184267763838,0.10013954786491763,1.0,0.0,0.0038500877839338205,,25.796405783482,0.0,0.0,PL
multiday,10,short,0.5,0.1,0.2,3,0.09999999999999994,0.19999999999999996,0.6666666666666666,0.09923802265196058,0.18320774025490727,0.6666666666666666,0.17320508075688776,0.16776470137966473,0.5773502691896253,0.5915310064384588,0.0,0.0,PL
multiday,10,long,1.0,0.2,0.2,3,0.07458775998273559,0.09578544061302674,0.6666666666666666,0.09820865629468949,0.130022496932102,0.6666666666666666,0.137244381383236,0.11723404092180005,0.5434667651308768,0.8377145027372955,-0.07202216066481992,-0.031648823517058666,PL
multiday,3,long,1.5,0.2,0.2,2,0.10914498890905433,0.10914498890905433,1.0,0.0971947977688658,0.0971947977688658,1.0,0.005489738067288151,0.029502888890857424,19.88163871777772,3.294416290161512,0.0,0.0,PL
multiday,10,long,0.5,0.1,0.2,4,0.09230679375759274,0.13461358751518548,0.75,0.0939561077926557,0.14012579035115647,0.75,0.1356155216975564,0.13268376021607237,0.6806506556340297,0.7081206293795895,-0.09999999999999998,-0.10067944500071524,PL
multiday,10,long,0.5,0.2,0.1,4,0.10000000000000009,0.10000000000000009,1.0,0.0936767567180643,0.10010224505342502,1.0,0.0,0.013446648867360605,,6.966550375644023,0.0,0.0,PL
