hold_type,hold_value,threshold,stop_loss,profit_target,n,avg_stock_ret,med_stock_ret,win_rate,avg_excess_ret,med_excess_ret,excess_win_rate,std_stock_ret,std_excess_ret,stock_sharpe_like,excess_sharpe_like,max_dd_stock,max_dd_excess,ticker
intraday,30,1.5,0.1,0.2,3,0.016388315663818265,-0.02807594936708857,0.3333333333333333,0.015197671431159687,-0.027936401502170916,0.3333333333333333,0.11210789312593405,0.10887573114665597,0.14618342390404923,0.13958731914909828,-0.09287088607594929,-0.09160867340652445,PL
intraday,30,1.5,0.2,0.2,3,0.016388315663818265,-0.02807594936708857,0.3333333333333333,0.015197671431159687,-0.027936401502170916,0.3333333333333333,0.11210789312593405,0.10887573114665597,0.14618342390404923,0.13958731914909828,-0.09287088607594929,-0.09160867340652445,PL
intraday,390,0.5,0.1,0.1,5,0.010298102981029822,0.051490514905149,0.6,0.010198853380276107,0.05245564643525369,0.6,0.10261702892327118,0.10117793305418366,0.10035471781910506,0.10080116357797438,-0.18999999999999995,-0.1877008267255288,PL
multiday,1,0.5,0.1,0.1,5,0.010298102981029822,0.051490514905149,0.6,0.010198853380276107,0.05245564643525369,0.6,0.10261702892327118,0.10117793305418366,0.10035471781910506,0.10080116357797438,-0.18999999999999995,-0.1877008267255288,PL
intraday,30,1.0,0.1,0.2,4,0.009919963035126544,-0.018780522109018594,0.25,0.009268262743158784,-0.01822818241150742,0.25,0.09244536121591128,0.08968415749006792,0.10730622829151935,0.10334336634856829,-0.10147509176357572,-0.0993481341900736,PL
