hold_type,hold_value,side_label,threshold,stop_loss,profit_target,n,avg_stock_ret,med_stock_ret,win_rate,avg_excess_ret,med_excess_ret,excess_win_rate,std_stock_ret,std_excess_ret,stock_sharpe_like,excess_sharpe_like,max_dd_stock,max_dd_excess,ticker
multiday,10,short,1.5,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,5,short,1.0,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,3,short,1.5,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,3,short,1.5,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,5,short,1.0,0.01,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,5,short,1.0,0.03,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,5,short,1.0,0.05,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,5,short,1.0,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,5,short,1.5,0.01,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,10,short,1.0,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,5,short,1.5,0.03,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,5,short,1.5,0.05,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,5,short,1.5,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,5,short,1.5,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,10,short,1.0,0.01,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,10,short,1.0,0.03,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,3,short,1.5,0.05,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,3,short,1.5,0.01,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,3,short,1.0,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,3,short,1.0,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,3,short,1.0,0.05,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,3,short,1.0,0.03,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,3,short,1.0,0.01,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,1,short,1.5,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,1,short,1.5,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,1,short,1.5,0.05,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,1,short,1.5,0.03,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,1,short,1.5,0.01,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,1,short,1.0,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,1,short,1.0,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,1,short,1.0,0.05,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,1,short,1.0,0.03,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,1,short,1.0,0.01,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,10,short,1.0,0.05,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,3,short,1.5,0.03,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,10,short,1.5,0.03,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,10,short,1.5,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,10,short,1.5,0.01,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,10,short,1.0,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,10,short,1.5,0.05,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.2003013207894604,0.2003013207894604,1.0,,,,,0.0,0.0,ORLA
multiday,5,long,1.0,0.1,0.2,4,0.12437652669557109,0.1399034958690183,1.0,0.12246654485995681,0.14378279963949725,1.0,0.07778811260761163,0.08450443621226536,1.5989143138485242,1.4492321391546241,0.0,0.0,ORLA
multiday,5,long,1.0,0.05,0.2,4,0.12437652669557109,0.1399034958690183,1.0,0.12246654485995681,0.14378279963949725,1.0,0.07778811260761163,0.08450443621226536,1.5989143138485242,1.4492321391546241,0.0,0.0,ORLA
multiday,5,long,1.0,0.2,0.2,4,0.12437652669557109,0.1399034958690183,1.0,0.12246654485995681,0.14378279963949725,1.0,0.07778811260761163,0.08450443621226536,1.5989143138485242,1.4492321391546241,0.0,0.0,ORLA
multiday,5,long,1.5,0.2,0.2,3,0.1248371514586224,0.15681233933161942,1.0,0.11619873752398824,0.14629563241113197,1.0,0.09526391049892759,0.10235129289131774,1.3104348835231545,1.1352933044761289,0.0,0.0,ORLA
