hold_type,hold_value,threshold,stop_loss,profit_target,event_date,stock_ret,market_ret,excess_ret,n_trades,ticker
intraday,5,0.5,0.01,0.01,2025-02-26,0.010000000000000009,0.00040211108318666255,0.009597888916813346,1,NVDA
intraday,5,0.5,0.01,0.03,2025-02-26,0.030000000000000138,0.0005864119963139292,0.02941358800368621,1,NVDA
intraday,5,0.5,0.01,0.05,2025-02-26,0.03600148148148141,0.0005864119963139292,0.03541506948516748,1,NVDA
intraday,5,0.5,0.01,0.1,2025-02-26,0.03600148148148141,0.0005864119963139292,0.03541506948516748,1,NVDA
intraday,5,0.5,0.01,0.2,2025-02-26,0.03600148148148141,0.0005864119963139292,0.03541506948516748,1,NVDA
intraday,5,0.5,0.03,0.01,2025-02-26,0.010000000000000009,0.00040211108318666255,0.009597888916813346,1,NVDA
intraday,5,0.5,0.03,0.03,2025-02-26,0.030000000000000138,0.0005864119963139292,0.02941358800368621,1,NVDA
intraday,5,0.5,0.03,0.05,2025-02-26,0.03600148148148141,0.0005864119963139292,0.03541506948516748,1,NVDA
intraday,5,0.5,0.03,0.1,2025-02-26,0.03600148148148141,0.0005864119963139292,0.03541506948516748,1,NVDA
intraday,5,0.5,0.03,0.2,2025-02-26,0.03600148148148141,0.0005864119963139292,0.03541506948516748,1,NVDA
intraday,5,0.5,0.05,0.01,2025-02-26,0.010000000000000009,0.00040211108318666255,0.009597888916813346,1,NVDA
intraday,5,0.5,0.05,0.03,2025-02-26,0.030000000000000138,0.0005864119963139292,0.02941358800368621,1,NVDA
intraday,5,0.5,0.05,0.05,2025-02-26,0.03600148148148141,0.0005864119963139292,0.03541506948516748,1,NVDA
intraday,5,0.5,0.05,0.1,2025-02-26,0.03600148148148141,0.0005864119963139292,0.03541506948516748,1,NVDA
intraday,5,0.5,0.05,0.2,2025-02-26,0.03600148148148141,0.0005864119963139292,0.03541506948516748,1,NVDA
intraday,5,0.5,0.1,0.01,2025-02-26,0.010000000000000009,0.00040211108318666255,0.009597888916813346,1,NVDA
intraday,5,0.5,0.1,0.03,2025-02-26,0.030000000000000138,0.0005864119963139292,0.02941358800368621,1,NVDA
intraday,5,0.5,0.1,0.05,2025-02-26,0.03600148148148141,0.0005864119963139292,0.03541506948516748,1,NVDA
intraday,5,0.5,0.1,0.1,2025-02-26,0.03600148148148141,0.0005864119963139292,0.03541506948516748,1,NVDA
intraday,5,0.5,0.1,0.2,2025-02-26,0.03600148148148141,0.0005864119963139292,0.03541506948516748,1,NVDA
intraday,5,0.5,0.2,0.01,2025-02-26,0.010000000000000009,0.00040211108318666255,0.009597888916813346,1,NVDA
intraday,5,0.5,0.2,0.03,2025-02-26,0.030000000000000138,0.0005864119963139292,0.02941358800368621,1,NVDA
intraday,5,0.5,0.2,0.05,2025-02-26,0.03600148148148141,0.0005864119963139292,0.03541506948516748,1,NVDA
intraday,5,0.5,0.2,0.1,2025-02-26,0.03600148148148141,0.0005864119963139292,0.03541506948516748,1,NVDA
intraday,5,0.5,0.2,0.2,2025-02-26,0.03600148148148141,0.0005864119963139292,0.03541506948516748,1,NVDA
intraday,15,0.5,0.01,0.01,2025-02-26,0.010000000000000009,0.00040211108318666255,0.009597888916813346,1,NVDA
intraday,15,0.5,0.01,0.03,2025-02-26,0.030000000000000138,0.0005864119963139292,0.02941358800368621,1,NVDA
intraday,15,0.5,0.01,0.05,2025-02-26,0.04081481481481475,-0.0021781017005949588,0.04299291651540971,1,NVDA
intraday,15,0.5,0.01,0.1,2025-02-26,0.04081481481481475,-0.0021781017005949588,0.04299291651540971,1,NVDA
intraday,15,0.5,0.01,0.2,2025-02-26,0.04081481481481475,-0.0021781017005949588,0.04299291651540971,1,NVDA
intraday,15,0.5,0.03,0.01,2025-02-26,0.010000000000000009,0.00040211108318666255,0.009597888916813346,1,NVDA
intraday,15,0.5,0.03,0.03,2025-02-26,0.030000000000000138,0.0005864119963139292,0.02941358800368621,1,NVDA
intraday,15,0.5,0.03,0.05,2025-02-26,0.04081481481481475,-0.0021781017005949588,0.04299291651540971,1,NVDA
