hold_type,hold_value,side_label,threshold,stop_loss,profit_target,n,avg_stock_ret,med_stock_ret,win_rate,avg_excess_ret,med_excess_ret,excess_win_rate,std_stock_ret,std_excess_ret,stock_sharpe_like,excess_sharpe_like,max_dd_stock,max_dd_excess,ticker
multiday,3,long,1.0,0.03,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.18552972890493868,0.18552972890493868,1.0,,,,,0.0,0.0,XPEV
multiday,3,long,1.0,0.05,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.18552972890493868,0.18552972890493868,1.0,,,,,0.0,0.0,XPEV
multiday,3,long,1.0,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.18552972890493868,0.18552972890493868,1.0,,,,,0.0,0.0,XPEV
multiday,3,long,1.0,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.18552972890493868,0.18552972890493868,1.0,,,,,0.0,0.0,XPEV
multiday,5,long,1.0,0.03,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.18552972890493868,0.18552972890493868,1.0,,,,,0.0,0.0,XPEV
multiday,5,long,1.0,0.05,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.18552972890493868,0.18552972890493868,1.0,,,,,0.0,0.0,XPEV
multiday,5,long,1.0,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.18552972890493868,0.18552972890493868,1.0,,,,,0.0,0.0,XPEV
multiday,5,long,1.0,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.18552972890493868,0.18552972890493868,1.0,,,,,0.0,0.0,XPEV
multiday,10,long,1.0,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.18552972890493868,0.18552972890493868,1.0,,,,,0.0,0.0,XPEV
multiday,10,long,1.0,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.18552972890493868,0.18552972890493868,1.0,,,,,0.0,0.0,XPEV
multiday,10,long,1.0,0.05,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.18552972890493868,0.18552972890493868,1.0,,,,,0.0,0.0,XPEV
multiday,10,long,1.0,0.03,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.18552972890493868,0.18552972890493868,1.0,,,,,0.0,0.0,XPEV
multiday,10,short,1.5,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.1823098701552277,0.1823098701552277,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,1.5,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.1823098701552277,0.1823098701552277,1.0,,,,,0.0,0.0,XPEV
multiday,10,short,0.5,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.1823098701552277,0.1823098701552277,1.0,,,,,0.0,0.0,XPEV
multiday,10,short,0.5,0.05,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.1823098701552277,0.1823098701552277,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,0.5,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.1823098701552277,0.1823098701552277,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,1.5,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.1823098701552277,0.1823098701552277,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,1.5,0.05,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.1823098701552277,0.1823098701552277,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,1.0,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.1823098701552277,0.1823098701552277,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,1.0,0.05,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.1823098701552277,0.1823098701552277,1.0,,,,,0.0,0.0,XPEV
multiday,10,short,1.0,0.05,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.1823098701552277,0.1823098701552277,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,0.5,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.1823098701552277,0.1823098701552277,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,0.5,0.05,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.1823098701552277,0.1823098701552277,1.0,,,,,0.0,0.0,XPEV
multiday,10,short,0.5,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.1823098701552277,0.1823098701552277,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,1.0,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.1823098701552277,0.1823098701552277,1.0,,,,,0.0,0.0,XPEV
multiday,10,short,1.5,0.05,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.1823098701552277,0.1823098701552277,1.0,,,,,0.0,0.0,XPEV
multiday,10,short,1.0,0.2,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.1823098701552277,0.1823098701552277,1.0,,,,,0.0,0.0,XPEV
multiday,10,short,1.5,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.1823098701552277,0.1823098701552277,1.0,,,,,0.0,0.0,XPEV
multiday,10,short,1.0,0.1,0.2,1,0.19999999999999996,0.19999999999999996,1.0,0.1823098701552277,0.1823098701552277,1.0,,,,,0.0,0.0,XPEV
multiday,3,long,1.0,0.1,0.1,1,0.10000000000000009,0.10000000000000009,1.0,0.09969482732312729,0.09969482732312729,1.0,,,,,0.0,0.0,XPEV
multiday,3,long,1.0,0.01,0.1,1,0.10000000000000009,0.10000000000000009,1.0,0.09969482732312729,0.09969482732312729,1.0,,,,,0.0,0.0,XPEV
multiday,5,long,1.0,0.2,0.1,1,0.10000000000000009,0.10000000000000009,1.0,0.09969482732312729,0.09969482732312729,1.0,,,,,0.0,0.0,XPEV
multiday,5,long,1.0,0.05,0.1,1,0.10000000000000009,0.10000000000000009,1.0,0.09969482732312729,0.09969482732312729,1.0,,,,,0.0,0.0,XPEV
multiday,10,long,1.0,0.1,0.1,1,0.10000000000000009,0.10000000000000009,1.0,0.09969482732312729,0.09969482732312729,1.0,,,,,0.0,0.0,XPEV
multiday,3,long,1.0,0.03,0.1,1,0.10000000000000009,0.10000000000000009,1.0,0.09969482732312729,0.09969482732312729,1.0,,,,,0.0,0.0,XPEV
multiday,10,long,1.0,0.03,0.1,1,0.10000000000000009,0.10000000000000009,1.0,0.09969482732312729,0.09969482732312729,1.0,,,,,0.0,0.0,XPEV
multiday,10,long,1.0,0.2,0.1,1,0.10000000000000009,0.10000000000000009,1.0,0.09969482732312729,0.09969482732312729,1.0,,,,,0.0,0.0,XPEV
multiday,1,long,1.0,0.1,0.1,1,0.10000000000000009,0.10000000000000009,1.0,0.09969482732312729,0.09969482732312729,1.0,,,,,0.0,0.0,XPEV
multiday,1,long,1.0,0.2,0.1,1,0.10000000000000009,0.10000000000000009,1.0,0.09969482732312729,0.09969482732312729,1.0,,,,,0.0,0.0,XPEV
multiday,10,long,1.0,0.01,0.1,1,0.10000000000000009,0.10000000000000009,1.0,0.09969482732312729,0.09969482732312729,1.0,,,,,0.0,0.0,XPEV
multiday,10,long,1.0,0.05,0.1,1,0.10000000000000009,0.10000000000000009,1.0,0.09969482732312729,0.09969482732312729,1.0,,,,,0.0,0.0,XPEV
multiday,3,long,1.0,0.2,0.1,1,0.10000000000000009,0.10000000000000009,1.0,0.09969482732312729,0.09969482732312729,1.0,,,,,0.0,0.0,XPEV
multiday,1,long,1.0,0.05,0.1,1,0.10000000000000009,0.10000000000000009,1.0,0.09969482732312729,0.09969482732312729,1.0,,,,,0.0,0.0,XPEV
multiday,5,long,1.0,0.01,0.1,1,0.10000000000000009,0.10000000000000009,1.0,0.09969482732312729,0.09969482732312729,1.0,,,,,0.0,0.0,XPEV
multiday,1,long,1.0,0.03,0.1,1,0.10000000000000009,0.10000000000000009,1.0,0.09969482732312729,0.09969482732312729,1.0,,,,,0.0,0.0,XPEV
multiday,3,long,1.0,0.05,0.1,1,0.10000000000000009,0.10000000000000009,1.0,0.09969482732312729,0.09969482732312729,1.0,,,,,0.0,0.0,XPEV
multiday,5,long,1.0,0.03,0.1,1,0.10000000000000009,0.10000000000000009,1.0,0.09969482732312729,0.09969482732312729,1.0,,,,,0.0,0.0,XPEV
multiday,5,long,1.0,0.1,0.1,1,0.10000000000000009,0.10000000000000009,1.0,0.09969482732312729,0.09969482732312729,1.0,,,,,0.0,0.0,XPEV
multiday,1,long,1.0,0.01,0.1,1,0.10000000000000009,0.10000000000000009,1.0,0.09969482732312729,0.09969482732312729,1.0,,,,,0.0,0.0,XPEV
multiday,3,short,0.5,0.05,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,1.0,0.05,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,0.5,0.05,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,10,short,1.5,0.05,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,1.0,0.2,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,0.5,0.1,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,3,short,1.0,0.2,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,1.5,0.1,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,10,short,1.5,0.2,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,3,short,1.0,0.05,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,3,short,1.0,0.1,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,1.5,0.05,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,0.5,0.2,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,3,short,0.5,0.2,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,3,short,1.5,0.2,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,10,short,0.5,0.05,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,10,short,1.0,0.05,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,3,short,0.5,0.1,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,10,short,0.5,0.2,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,10,short,1.0,0.2,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,1.5,0.2,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,10,short,0.5,0.1,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,3,short,1.5,0.05,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,10,short,1.0,0.1,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,1.0,0.1,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,10,short,1.5,0.1,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,3,short,1.5,0.1,0.1,1,0.09999999999999987,0.09999999999999987,1.0,0.08373523381821713,0.08373523381821713,1.0,,,,,0.0,0.0,XPEV
multiday,3,long,0.5,0.03,0.2,2,0.08499999999999991,0.08499999999999991,0.5,0.07803487153462219,0.07803487153462219,0.5,0.162634559672906,0.15202068517846304,0.5226441426161431,0.5133174570487825,-0.03000000000000025,-0.029459985835694424,XPEV
multiday,5,long,0.5,0.03,0.2,2,0.08499999999999991,0.08499999999999991,0.5,0.07803487153462219,0.07803487153462219,0.5,0.162634559672906,0.15202068517846304,0.5226441426161431,0.5133174570487825,-0.03000000000000025,-0.029459985835694424,XPEV
multiday,10,long,0.5,0.03,0.2,2,0.08499999999999991,0.08499999999999991,0.5,0.07803487153462219,0.07803487153462219,0.5,0.162634559672906,0.15202068517846304,0.5226441426161431,0.5133174570487825,-0.03000000000000025,-0.029459985835694424,XPEV
multiday,3,short,1.5,0.1,0.2,1,0.09233791748526521,0.09233791748526521,1.0,0.07271476020712386,0.07271476020712386,1.0,,,,,0.0,0.0,XPEV
multiday,3,short,1.5,0.05,0.2,1,0.09233791748526521,0.09233791748526521,1.0,0.07271476020712386,0.07271476020712386,1.0,,,,,0.0,0.0,XPEV
multiday,3,short,1.0,0.2,0.2,1,0.09233791748526521,0.09233791748526521,1.0,0.07271476020712386,0.07271476020712386,1.0,,,,,0.0,0.0,XPEV
multiday,3,short,0.5,0.2,0.2,1,0.09233791748526521,0.09233791748526521,1.0,0.07271476020712386,0.07271476020712386,1.0,,,,,0.0,0.0,XPEV
multiday,3,short,1.0,0.05,0.2,1,0.09233791748526521,0.09233791748526521,1.0,0.07271476020712386,0.07271476020712386,1.0,,,,,0.0,0.0,XPEV
multiday,3,short,0.5,0.1,0.2,1,0.09233791748526521,0.09233791748526521,1.0,0.07271476020712386,0.07271476020712386,1.0,,,,,0.0,0.0,XPEV
multiday,3,short,1.5,0.2,0.2,1,0.09233791748526521,0.09233791748526521,1.0,0.07271476020712386,0.07271476020712386,1.0,,,,,0.0,0.0,XPEV
multiday,3,short,1.0,0.1,0.2,1,0.09233791748526521,0.09233791748526521,1.0,0.07271476020712386,0.07271476020712386,1.0,,,,,0.0,0.0,XPEV
multiday,3,short,0.5,0.05,0.2,1,0.09233791748526521,0.09233791748526521,1.0,0.07271476020712386,0.07271476020712386,1.0,,,,,0.0,0.0,XPEV
multiday,3,long,0.5,0.05,0.2,2,0.07499999999999996,0.07499999999999996,0.5,0.06892368173292257,0.06892368173292257,0.5,0.1767766952966369,0.16490585336538208,0.42426406871192823,0.41795776393824113,-0.050000000000000044,-0.047682365439093544,XPEV
multiday,5,long,0.5,0.05,0.2,2,0.07499999999999996,0.07499999999999996,0.5,0.06892368173292257,0.06892368173292257,0.5,0.1767766952966369,0.16490585336538208,0.42426406871192823,0.41795776393824113,-0.050000000000000044,-0.047682365439093544,XPEV
multiday,10,long,0.5,0.05,0.2,2,0.07499999999999996,0.07499999999999996,0.5,0.06892368173292257,0.06892368173292257,0.5,0.1767766952966369,0.16490585336538208,0.42426406871192823,0.41795776393824113,-0.050000000000000044,-0.047682365439093544,XPEV
multiday,3,long,0.5,0.2,0.2,2,0.07300771208226214,0.07300771208226214,0.5,0.06516174084068044,0.06516174084068044,0.5,0.17959421589005375,0.17022604119603685,0.4065148296699985,0.38279537245208234,-0.05398457583547567,-0.05520624722357781,XPEV
multiday,3,long,0.5,0.1,0.2,2,0.07300771208226214,0.07300771208226214,0.5,0.06516174084068044,0.06516174084068044,0.5,0.17959421589005375,0.17022604119603685,0.4065148296699985,0.38279537245208234,-0.05398457583547567,-0.05520624722357781,XPEV
multiday,1,short,1.0,0.2,0.05,1,0.050000000000000044,0.050000000000000044,1.0,0.0514741774870644,0.0514741774870644,1.0,,,,,0.0,0.0,XPEV
multiday,3,short,1.0,0.05,0.05,1,0.050000000000000044,0.050000000000000044,1.0,0.0514741774870644,0.0514741774870644,1.0,,,,,0.0,0.0,XPEV
multiday,3,short,0.5,0.05,0.05,1,0.050000000000000044,0.050000000000000044,1.0,0.0514741774870644,0.0514741774870644,1.0,,,,,0.0,0.0,XPEV
multiday,1,short,0.5,0.05,0.05,1,0.050000000000000044,0.050000000000000044,1.0,0.0514741774870644,0.0514741774870644,1.0,,,,,0.0,0.0,XPEV
multiday,10,short,1.0,0.2,0.05,1,0.050000000000000044,0.050000000000000044,1.0,0.0514741774870644,0.0514741774870644,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,1.5,0.1,0.05,1,0.050000000000000044,0.050000000000000044,1.0,0.0514741774870644,0.0514741774870644,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,1.5,0.05,0.05,1,0.050000000000000044,0.050000000000000044,1.0,0.0514741774870644,0.0514741774870644,1.0,,,,,0.0,0.0,XPEV
multiday,3,short,0.5,0.2,0.05,1,0.050000000000000044,0.050000000000000044,1.0,0.0514741774870644,0.0514741774870644,1.0,,,,,0.0,0.0,XPEV
multiday,3,short,0.5,0.1,0.05,1,0.050000000000000044,0.050000000000000044,1.0,0.0514741774870644,0.0514741774870644,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,1.5,0.2,0.05,1,0.050000000000000044,0.050000000000000044,1.0,0.0514741774870644,0.0514741774870644,1.0,,,,,0.0,0.0,XPEV
multiday,1,short,0.5,0.1,0.05,1,0.050000000000000044,0.050000000000000044,1.0,0.0514741774870644,0.0514741774870644,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,0.5,0.2,0.05,1,0.050000000000000044,0.050000000000000044,1.0,0.0514741774870644,0.0514741774870644,1.0,,,,,0.0,0.0,XPEV
multiday,10,short,1.5,0.1,0.05,1,0.050000000000000044,0.050000000000000044,1.0,0.0514741774870644,0.0514741774870644,1.0,,,,,0.0,0.0,XPEV
multiday,5,short,0.5,0.05,0.05,1,0.050000000000000044,0.050000000000000044,1.0,0.0514741774870644,0.0514741774870644,1.0,,,,,0.0,0.0,XPEV
multiday,10,short,0.5,0.1,0.05,1,0.050000000000000044,0.050000000000000044,1.0,0.0514741774870644,0.0514741774870644,1.0,,,,,0.0,0.0,XPEV
